date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
24-09-2020,AE,1002,1,,93618,88532,407,,9130551
24-09-2020,AF,0,0,,,39170,1451,,
24-09-2020,AM,392,2,,,48643,947,,
24-09-2020,AT,688,6,,18518,41246,783,,1507782
24-09-2020,AU,10,2,,47634,26983,861,,7441327
24-09-2020,AZ,162,1,,,39686,581,,
24-09-2020,BE,0,1,,603,108674,9965,,3027173
24-09-2020,BH,687,0,,22705,67701,231,,1378104
24-09-2020,BR,32817,831,30903,,4657702,139808,4023789,6400000
24-09-2020,BY,294,6,,7315,76651,802,,1744682
24-09-2020,CA,1341,6,919,67590,149094,9249,128707,6901251
24-09-2020,CH,508,4,,8088,51492,1776,,1313944
24-09-2020,CN,15,0,13,,90933,4745,80458,
24-09-2020,CZ,2910,12,,22025,58374,567,,1286000
24-09-2020,DE,2153,15,,,280223,9443,,15642654
24-09-2020,DK,559,2,,7279,24916,645,,3492190
24-09-2020,DO,385,2,,2599,110122,2076,,452188
24-09-2020,DZ,0,0,,,50400,1698,,
24-09-2020,EC,1164,42,,4339,131146,11213,,337427
24-09-2020,EE,43,0,,2534,3076,64,,199944
24-09-2020,EG,138,13,,,102513,5835,,
25-09-2020,FI,105,0,,9686,9484,343,,936859
24-09-2020,FR,16068,52,,173278,474200,31325,,
25-09-2020,GB,344,7,,274768,423235,41936,,23188836
24-09-2020,GE,265,1,,,4664,26,,
24-09-2020,GR,341,9,,13134,16627,366,,1246363
24-09-2020,HR,232,4,,5414,15572,261,,284449
24-09-2020,ID,4634,128,,34786,262022,10105,,1834349
24-09-2020,IE,319,3,,14373,33994,1797,,1106992
24-09-2020,IL,0,0,,54471,206049,1369,,3201110
24-09-2020,IN,86052,1141,,1492409,5818570,92290,,68928440
24-09-2020,IQ,4471,45,,22816,337106,8799,,2121304
24-09-2020,IR,3521,175,,27711,436319,25015,,3828330
24-09-2020,IS,36,0,,4525,2512,10,,116711
24-09-2020,JP,456,12,,6112,80497,1532,,2309187
24-09-2020,KH,0,0,,,275,0,,
24-09-2020,KR,114,2,,12484,23455,395,,2260701
24-09-2020,KW,552,2,,4622,101851,592,,720509
24-09-2020,LB,1027,1,,,32805,329,,
24-09-2020,LK,9,0,,2555,3333,13,,278145
24-09-2020,LT,138,2,,6613,4070,89,,744174
24-09-2020,LU,68,0,,76,8158,124,,8233
24-09-2020,MC,0,0,,,208,1,,
24-09-2020,MK,151,2,,,17200,712,,
24-09-2020,MX,4786,601,,12158,710049,74949,,1532585
24-09-2020,MY,71,0,,11860,10576,133,,1484812
24-09-2020,NG,125,0,,1912,57849,1102,,494577
25-09-2020,NL,2759,16,,,105015,6310,,2240526
24-09-2020,NO,123,3,,2502,13275,270,,952808
